Row,Flowrate (GPM),Pin-1 (bar),Pout-1 (bar),Input power-1 (W),Pin-2 (bar),Pout-2 (bar),Input power-2 (W)
1,1,0,3.2,416,0,6.6,463
2,2,0,2.6,366,2.5,5.5,391
3,4,0,1.8,308,1.7,4,325
4,6,0,1,259,1,2.4,273
5,8,0,0.38,225,0.1,0.9,232
6,9.5,0,1,213,0,1,216
