Row,Q1,efficiency_1,Q2,efficiency_2,Q3,efficiency_Parallel,Q4,efficiency_Series
1,0,0.0,0,0.0,0,0,0,0
2,2,9.08272425249169,2,9.93543307086614,4,9.60065217391304,2,9.33431968295905
3,4,14.6342783505155,4,17.0828307692308,8,15.8716981132075,4,16.3455924170616
4,6,14.4041095890411,6,18.2937546468401,12,18.9958254545454,6,17.076992481203
5,8,8.79686274509804,8,12.8864680851064,16,12.7508210526316,8,13.0321575492341
6,9.1,0.0,9.5,0.0,18.5,5.30529545454545,9.5,0
