F(N),5,10,15,20
δ Experimental(mm),0.13,0.26,0.4,0.57
δ Theoretical(mm),0.1311,0.2622,0.3933,0.5244
Error(%),0.8391,0.8391,1.703,8.6956
K_1 = 0.0262 (mm/N),,,,
