b(mm),15,20,25,30
δ Experimental(mm),0.85,0.64,0.51,0.42
δ Theoretical(mm),0.7374,0.553,0.4425,0.3686
Error(%),15.27,15.73,15.25,13.94
K_3 = 11.0609 (mm^2),,,,
